Gender,Parental Level of Education,Test Preparation Course,Lunch,Math Score,Reading Score,Writing Score,Total Marks
female,some college,none,standard,44,51,42,46
male,bachelor's degree,completed,standard,64,57,58,60
female,high school,none,standard,54,60,65,60
female,bachelor's degree,none,standard,91,100,100,97
female,associate's degree,none,standard,72,85,75,77
female,associate's degree,none,standard,70,85,82,79
male,some college,none,free or reduced,73,74,72,73
male,high school,none,free or reduced,48,45,46,46
male,master's degree,none,free or reduced,90,82,76,83
male,some college,none,standard,72,68,67,69
female,associate's degree,none,standard,55,54,56,55
male,some high school,none,free or reduced,55,59,60,58
male,high school,none,standard,91,79,75,82
female,associate's degree,completed,standard,63,78,80,74
female,bachelor's degree,completed,standard,56,72,77,68
male,some college,none,standard,58,54,50,54
male,bachelor's degree,completed,free or reduced,76,76,75,76
male,some college,none,standard,75,58,56,63
female,high school,completed,standard,78,82,89,83
male,bachelor's degree,completed,standard,66,69,61,65
female,bachelor's degree,completed,standard,59,76,82,72
female,high school,completed,standard,56,69,78,68
male,bachelor's degree,none,free or reduced,51,49,47,49
male,associate's degree,none,standard,79,83,80,81
female,high school,none,free or reduced,63,69,68,67
female,bachelor's degree,none,free or reduced,38,60,55,51
female,high school,none,standard,70,72,71,71
male,associate's degree,none,standard,40,52,50,47
female,some high school,none,free or reduced,61,77,70,69
male,master's degree,none,standard,100,97,98,98
female,some college,completed,free or reduced,49,54,51,51
female,associate's degree,completed,free or reduced,53,56,67,59
male,some college,none,free or reduced,65,65,64,65
female,master's degree,none,standard,81,79,87,82
female,bachelor's degree,none,free or reduced,49,63,65,59
male,some high school,none,free or reduced,40,45,34,40
female,some high school,completed,standard,91,100,100,97
female,some college,none,free or reduced,67,80,74,74
male,some high school,none,standard,60,57,51,56
male,some high school,none,standard,67,61,59,62
female,some college,completed,free or reduced,82,80,86,83
female,some high school,none,standard,46,66,62,58
female,some college,completed,standard,68,81,78,76
male,some college,completed,standard,54,53,56,54
male,high school,completed,free or reduced,63,62,58,61
female,associate's degree,completed,free or reduced,83,88,93,88
male,some college,none,standard,70,67,63,67
female,some college,completed,standard,99,98,100,99
female,some high school,none,standard,60,67,68,65
female,master's degree,none,standard,55,56,58,56
female,some high school,none,free or reduced,32,52,45,43
male,some college,none,free or reduced,51,55,56,54
male,some high school,none,standard,68,67,65,67
male,some high school,none,standard,47,39,32,39
female,some college,none,free or reduced,52,67,63,61
